Laptop_Name,Brand_Name,Discounted_Price,Org_Price,%Discount,Avg_Rating,Total_Ratings,Total_Reviws,Processor,Ram,Ram(HDD),proc_names,Proc_Type,Proc_Gen,Laptop_Name_Proper
MSI GF63 Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,MSI,46990,67990,30,4.3,490,146,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,8,Intel,i5,11th Gen,MSI GF63 Intel
MSI GF63 Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,MSI,97990,111990,12,3.9,7,323,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,16,Intel,i7,12th Gen,MSI GF63 Intel
HP Intel Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Lig...,HP,31990,47279,32,4.3,11242,886,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,8,Intel,i3,11th Gen,HP Intel Intel
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,DELL,36990,61431,39,4.2,879,105,Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 Cores,8 GB DDR4 RAM,8,Intel,i3,Unknown,DELL Intel Core
ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312W Thin ...,ASUS,29990,44990,33,4.3,11615,48,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,8,Intel,i3,11th Gen,ASUS Vivobook 15
Acer Extensa Intel Core i3 N305 - (8 GB/512 GB SSD/Windows 11 Home) EX215-33 Notebook,Acer,28990,43999,34,4.2,328,51,Intel Core i3 Processor,8 GB LPDDR5 RAM,8,Intel,i3,Unknown,Acer Extensa Intel
MSI Modern 14 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C11M-031IN T...,MSI,28990,52990,45,4.3,2112,60,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,8,Intel,i3,11th Gen,MSI Modern 14
MSI Katana 17 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,MSI,110990,149990,26,5.0,13,258,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,16,Intel,i7,12th Gen,MSI Katana 17
CHUWI Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,CHUWI,24990,49990,50,4.1,803,168,Intel Core i3-1005G1,8 GB DDR4 RAM,8,Intel,i3,Unknown,CHUWI Intel Core
Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Lap...,Lenovo,49990,90000,44,4.0,708,168,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,16,Intel,i7,12th Gen,Lenovo Intel Core
MSI GF63 Intel Core i7 11th Gen 11800H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,MSI,66890,82990,19,4.3,842,353,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,16,Intel,i7,11th Gen,MSI GF63 Intel
MSI GF63 Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForc...,MSI,87990,115990,24,4.3,52,46,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,16,Intel,i7,12th Gen,MSI GF63 Intel
SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) NP550 Thin and...,SAMSUNG,48990,85990,43,4.3,1677,237,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,16,Intel,i5,12th Gen,SAMSUNG Galaxy Book
SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) NP550 Thin and ...,SAMSUNG,44990,82990,45,4.3,1677,5,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,8,Intel,i5,12th Gen,SAMSUNG Galaxy Book
Lenovo V15 Intel Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and ...,Lenovo,34500,59000,41,4.2,101,30,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,8,Intel,i3,12th Gen,Lenovo V15 Intel
HP AMD Ryzen 5 Quad Core R5 5500 - (8 GB/512 GB SSD/Windows 11 Home) 245 G8 Business Laptop,HP,28990,48146,39,3.3,15,1,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,8,AMD,Ryzen 5 Quad,Unknown,HP AMD Ryzen
MSI GF63 Intel Core i7 11th Gen 11800H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,MSI,59990,81990,26,4.3,150,2,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,16,Intel,i7,11th Gen,MSI GF63 Intel
MSI GF63 Intel Core i5 11th Gen 11260H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,MSI,57990,84990,31,4.3,273,186,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,16,Intel,i5,11th Gen,MSI GF63 Intel
ASUS Vivobook Go 14 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) E410KA-EK013W Th...,ASUS,23990,36990,35,4.3,75,84,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,8,Intel,Celeron Dual,Unknown,ASUS Vivobook Go
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,DELL,38480,62561,38,4.2,318,206,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,8,Intel,i3,12th Gen,DELL Intel Core
MSI GF63 Intel Core i5 12th Gen 12450H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/8 GB Graphics/NVID...,MSI,86990,111990,22,4.3,55,17,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,16,Intel,i5,12th Gen,MSI GF63 Intel
MSI Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX...,MSI,69990,114990,39,3.6,5,108,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,16,Intel,i5,12th Gen,MSI Intel Core
HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Lapto...,HP,46490,59109,21,4.3,2391,6,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,16,AMD,Ryzen 5 Hexa,Unknown,HP AMD Ryzen
Acer Nitro 5 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,Acer,62990,96999,35,4.3,493,111,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,8,Intel,i5,12th Gen,Acer Nitro 5
